name,calories,serving_size_g,fat_total_g,fat_saturated_g,protein_g,sodium_mg,potassium_mg,cholesterol_mg,carbohydrates_total_g,fiber_g,sugar_g
broccoli,35.0,100.0,0.4,0.1,2.4,41,65,0,7.3,3.3,1.4
spinach,23.3,100.0,0.3,0.0,2.9,69,55,0,3.8,2.4,0.4
kale,27.2,100.0,0.4,0.1,1.9,23,28,0,5.6,2.0,1.3
blueberries,55.7,100.0,0.0,0.0,0.7,0,11,0,14.8,2.2,10.3
strawberries,31.3,100.0,0.3,0.0,0.7,1,23,0,7.6,2.0,4.9
avocado,167.2,100.0,15.6,2.1,2.0,7,55,0,8.6,6.7,0.3
salmon,208.7,100.0,12.1,2.4,22.0,61,253,63,0.0,0.0,0.0
quinoa,121.8,100.0,1.9,0.2,4.4,6,152,0,21.0,2.8,0.9
Greek yogurt,60.7,100.0,0.4,0.1,10.2,36,133,5,3.6,0.0,3.2
almonds,603.7,100.0,52.7,3.9,21.0,490,466,0,21.3,11.1,4.6
walnuts,664.8,100.0,64.5,5.9,15.2,2,350,0,13.6,6.9,2.4
chia seeds,475.3,100.0,30.9,3.4,16.6,15,859,0,42.3,34.0,0.0
oats,386.8,100.0,6.6,1.1,13.3,5,417,0,68.0,10.2,1.0
brown rice,110.0,100.0,0.8,0.2,2.3,0,77,0,23.1,1.8,0.0
lentils,116.2,100.0,0.4,0.1,8.9,239,179,0,19.7,8.0,1.8
chickpeas,166.1,100.0,2.6,0.3,8.9,238,167,0,27.8,7.5,4.8
sweet potatoes,75.9,100.0,0.1,0.0,1.4,27,32,0,17.6,2.5,5.8
Brussels sprouts,36.6,100.0,0.5,0.1,2.6,20,55,0,7.1,2.6,1.7
carrots,35.1,100.0,0.2,0.0,0.8,56,30,0,8.1,3.0,3.4
tomatoes,18.5,100.0,0.2,0.0,0.9,5,23,0,3.9,1.2,2.6
oranges,49.8,100.0,0.1,0.0,0.9,1,23,0,12.5,2.2,8.6
apples,53.4,100.0,0.2,0.0,0.3,1,11,0,13.8,2.4,10.3
bananas,87.4,100.0,0.3,0.1,1.1,1,22,0,22.4,2.6,12.2
grapes,69.6,100.0,0.2,0.1,0.7,2,20,0,18.1,0.9,15.5
cottage cheese,98.3,100.0,4.3,1.7,11.2,370,161,16,3.4,0.0,2.7
tofu,81.7,100.0,5.2,0.9,10.0,3,111,0,1.2,1.0,0.7
chicken breast,166.2,100.0,3.5,1.0,31.0,72,226,85,0.0,0.0,0.0
turkey,193.1,100.0,7.4,2.2,28.6,104,226,110,0.1,0.0,0.0
eggs,144.3,100.0,9.4,3.1,12.6,143,200,373,0.7,0.0,0.4
green tea,1.0,100.0,0.0,0.0,0.2,1,0,0,0.0,0.0,0.0
olive oil,869.2,100.0,101.2,13.9,0.0,1,0,0,0.0,0.0,0.0
whole wheat bread,246.3,100.0,3.4,0.7,12.4,454,208,0,42.6,6.0,4.4
almond butter,628.3,100.0,56.5,4.1,21.1,7,502,0,18.9,10.3,4.5
hummus,163.5,100.0,9.7,1.4,7.9,380,178,0,14.6,6.0,0.0
Greek salad,89.4,100.0,6.7,2.9,2.9,305,72,14,5.4,1.1,3.9
quinoa salad,111.1,100.0,4.7,0.6,3.8,309,99,0,14.9,3.6,1.0
veggie,32.1,100.0,0.3,0.1,1.7,30,40,0,6.9,2.9,2.6
cauliflower rice,25.1,100.0,0.3,0.1,1.9,29,44,0,4.9,2.0,1.9
black beans,132.5,100.0,0.5,0.1,8.8,1,141,0,23.9,8.8,0.3
edamame,120.8,100.0,5.2,0.6,11.9,5,169,0,8.8,5.2,2.2
pumpkin seeds,436.0,100.0,19.5,3.7,18.6,17,91,0,53.5,18.3,0.0
Greek yogurt,60.7,100.0,0.4,0.1,10.2,36,133,5,3.6,0.0,3.2
grilled vegetables,42.2,100.0,2.5,0.4,1.3,35,37,0,4.6,1.4,2.4
sardines,208.1,100.0,11.4,1.5,24.4,309,491,143,0.0,0.0,0.0
shrimp,119.0,100.0,1.8,0.6,22.6,944,300,212,1.6,0.0,0.0
milk,51.3,100.0,1.9,1.2,3.5,52,100,8,4.9,0.0,0.0
dark chocolate,542.0,100.0,31.9,18.7,4.8,24,205,8,60.9,7.0,48.3
green peas,82.6,100.0,0.2,0.0,5.4,3,115,0,15.9,5.6,5.9
cucumber,15.3,100.0,0.1,0.0,0.6,1,24,0,3.7,0.5,1.7
quinoa,120.1,100.0,1.9,0.2,4.4,6,152,0,21.3,2.8,0.9
watermelon,30.0,100.0,0.2,0.1,0.6,2,112,0,7.6,0.4,6.2
pineapple,50.0,100.0,0.1,0.0,0.5,1,109,0,13.1,1.4,9.9
mango,60.0,100.0,0.4,0.1,0.8,1,156,0,14.6,1.6,13.7
papaya,43.0,100.0,0.4,0.1,0.5,8,182,0,10.9,1.7,7.8
kiwi,41.0,100.0,0.5,0.1,1.1,3,312,0,9.6,3.8,6.2
cauliflower,25.0,100.0,0.3,0.0,1.9,30,299,0,5.3,2.0,1.9
asparagus,20.0,100.0,0.2,0.0,2.0,2,202,0,3.7,2.0,1.9
bell peppers,31.0,100.0,0.3,0.1,1.0,3,211,0,6.0,2.0,4.2
zucchini,17.0,100.0,0.3,0.0,1.2,8,257,0,3.1,1.0,2.5
quinoa,120.1,100.0,1.9,0.2,4.4,6,152,0,21.3,2.8,0.9
